"indice_tiempo","hogurb_ninxs5a14_asisescolar_arg","hogurb_ninxs5a14_asisescolar_2","hogurb_ninxs5a14_asisescolar_6","hogurb_ninxs5a14_asisescolar_10","hogurb_ninxs5a14_asisescolar_14","hogurb_ninxs5a14_asisescolar_18","hogurb_ninxs5a14_asisescolar_22","hogurb_ninxs5a14_asisescolar_26","hogurb_ninxs5a14_asisescolar_30","hogurb_ninxs5a14_asisescolar_34","hogurb_ninxs5a14_asisescolar_38","hogurb_ninxs5a14_asisescolar_42","hogurb_ninxs5a14_asisescolar_46","hogurb_ninxs5a14_asisescolar_50","hogurb_ninxs5a14_asisescolar_54","hogurb_ninxs5a14_asisescolar_58","hogurb_ninxs5a14_asisescolar_62","hogurb_ninxs5a14_asisescolar_66","hogurb_ninxs5a14_asisescolar_70","hogurb_ninxs5a14_asisescolar_74","hogurb_ninxs5a14_asisescolar_78","hogurb_ninxs5a14_asisescolar_82","hogurb_ninxs5a14_asisescolar_86","hogurb_ninxs5a14_asisescolar_90","hogurb_ninxs5a14_asisescolar_94"
2019-10-01,0.988,0.967,0.992,1,0.981,0.967,0.963,0.998,0.993,0.986,0.997,0.986,0.987,1,0.993,0.978,0.99,0.984,0.988,0.985,0.966,0.989,0.956,0.983,0.989
2020-01-01,0.99,0.983,0.991,1,0.988,0.995,0.933,0.997,0.989,0.976,0.997,0.994,0.99,1,1,0.977,0.993,0.984,0.993,1,1,0.99,0.989,0.992,1
2020-04-01,0.982,0.978,0.977,0.996,0.965,1,0.959,0.998,0.993,0.996,1,1,0.974,1,1,1,1,0.995,1,0.989,1,0.997,0.986,1,1
2020-07-01,0.98,0.992,0.97,0.989,0.986,0.992,0.984,0.994,0.992,0.983,0.998,1,0.986,0.997,0.992,0.997,0.987,0.991,0.993,0.987,1,0.996,0.997,0.976,0
2020-10-01,0.985,0.956,0.989,0.992,1,1,0.947,0.991,0.989,0.967,0.988,1,1,0.995,1,0.98,0.996,0.987,0.972,0.969,1,0.985,0.997,0.951,0.99
2021-01-01,0.99,0.989,0.991,1,0.988,1,0.975,0.988,0.994,0.977,0.996,1,1,0.998,0.989,0.864,1,0.995,0.994,0.984,1,0.993,0.991,0.983,0.99
2021-04-01,0.988,1,0.983,1,0.99,1,0.971,1,0.99,0.994,0.997,1,0.996,1,1,0.981,0.998,0.998,0.991,0.989,1,0.993,0.977,0.991,0.994
2021-07-01,0.986,1,0.98,0.993,0.99,0.989,0.98,0.998,0.99,0.987,1,1,0.996,1,0.995,1,0.996,0.993,0.992,0.992,0.996,0.992,0.987,0.963,0.985
2021-10-01,0.987,0.983,0.988,0.996,0.978,0.987,0.983,1,0.995,0.959,0.994,0.994,1,0.995,0.993,0.983,0.997,0.99,0.996,0.985,0.989,0.998,0.963,0.945,0.984
2022-01-01,0.985,0.981,0.986,0.997,0.983,1,0.976,0.996,0.986,0.984,0.993,0.99,0.995,0.997,0.988,0.961,0.989,0.995,1,1,0.995,0.982,0.937,0.976,0.991
2022-04-01,0.991,0.992,0.991,1,0.987,0.991,0.976,0.995,0.996,0.99,1,0.973,1,0.985,0.995,0.98,1,0.998,1,0.985,1,0.994,0.981,0.998,1
2022-07-01,0.994,1,0.993,1,0.991,0.993,0.974,1,0.997,0.992,1,0.996,1,1,0.994,0.995,0.993,0.995,0.996,0.983,0.986,1,0.995,0.981,0.993
2022-10-01,0.99,0.991,0.989,0.973,0.988,0.979,0.99,0.971,0.997,0.961,0.992,0.986,0.992,0.997,0.995,0.984,1,0.993,0.992,0.995,1,0.997,0.991,0.985,1
2023-01-01,0.986,0.974,0.985,1,0.991,0.981,0.972,0.992,1,0.995,1,0.989,1,0.997,0.984,0.989,1,0.991,0.981,0.976,0.993,0.999,0.993,0.984,1
2023-04-01,0.992,0.985,0.99,1,0.995,0.994,0.989,1,0.995,1,1,1,0.995,1,1,1,0.996,0.992,0.993,1,1,0.995,0.982,1,1
